file	type	raw_href	resolved_path
community-contact/community-shared-protocols.md	content-ref	../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/
community-contact/what-higher-level-protocol-analysis-features-are-available.md	content-ref	../../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/
extensions-api/automation-api/automation-legacy-logic1.md	markdown	https://github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/https:/github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide
extensions-api/automation-api/automation-legacy-logic1.md	markdown	https://github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/https:/github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide
extensions-api/automation-api/export-data.md	markdown	https://github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide.md#export-data-2	getting-help/troubleshooting/technical-faq/https:/github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide
extensions-api/automation-api/export-data.md	markdown	https://github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide.md	getting-help/troubleshooting/technical-faq/https:/github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide
extensions-api/automation-api/export-data.md	markdown	https://github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide.md#export-data-2	getting-help/troubleshooting/technical-faq/https:/github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide
extensions-api/automation-api/export-data.md	markdown	https://github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide.md#export-data-deprecated	getting-help/troubleshooting/technical-faq/https:/github.com/saleae/SaleaeSocketApi/blob/master/Doc/Logic%20Socket%20API%20Users%20Guide
extensions-api/automation-api/how-to-manage-protocol-analyzers-when-using-the-socket-api.md	content-ref	../../../product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/
extensions-api/protocol-analyzer-sdk/framev2-hla-support-analyzer-sdk.md	content-ref	../../extensions/analyzer-frame-types/	product/user-guide/extensions-apis-and-sdks/extensions/analyzer-frame-types/
extensions-api/protocol-analyzer-sdk/framev2-hla-support-analyzer-sdk.md	content-ref	../../extensions/high-level-analyzer-extensions/	product/user-guide/extensions-apis-and-sdks/extensions/high-level-analyzer-extensions/
extensions-api/protocol-analyzer-sdk/migrate-code-to-the-new-analyzer-sdk.md	content-ref	../protocol-analyzer-sdk/	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/protocol-analyzer-sdk/
extensions-api/protocol-analyzer-sdk/protocol-analyzer-sdk.md	markdown	https://github.com/saleae/SampleAnalyzer/blob/master/readme.md	product/user-guide/extensions-apis-and-sdks/saleae-api-and-sdk/https:/github.com/saleae/SampleAnalyzer/blob/master/readme
