page	status	http	assets_total	assets_matched	assets_missing
community-contact/community-created-accessories	pass	200	5	5	0
community-contact/feedback	pass	200	1	1	0
community-contact/license	pass	200	1	1	0
community-contact/message-us-directly	pass	200	1	1	0
extensions-api/automation-api/how-to-trigger-on-a-pulse-with-no-maximum-time-limit	pass	200	1	1	0
extensions-api/extensions/about-third-party-extensions	pass	200	1	1	0
extensions-api/extensions/extensions-quickstart	pass	200	8	8	0
extensions-api/extensions/high-level-analyzer-extensions	pass	200	10	10	0
extensions-api/extensions/installing-extensions	pass	200	4	4	0
extensions-api/extensions/publish-an-extension	pass	200	5	5	0
extensions-api/protocol-analyzer-sdk/framev2-hla-support-analyzer-sdk	pass	200	1	1	0
extensions-api/protocol-analyzer-sdk/osx-analyzer-sdk-xcode-setup	pass	200	29	29	0
extensions-api/protocol-analyzer-sdk/setting-up-developer-directory	pass	200	2	2	0
getting-started/identify-each-saleae-device	pass	200	6	6	0
getting-started/product-summary	pass	200	2	2	0
getting-started/setup	pass	200	3	3	0
logic-software/capturing-data/capture-modes	pass	200	7	7	0
logic-software/capturing-data/capture-settings	pass	200	2	2	0
logic-software/capturing-data/connecting-accessories	pass	200	5	5	0
logic-software/capturing-data/demo-mode	pass	200	3	3	0
logic-software/download-and-installation/logic-1.x-installation	pass	200	2	2	0
logic-software/download-and-installation/older-software-releases	pass	200	3	3	0
logic-software/saving-and-exporting-data/binary-data-export-format	pass	200	2	2	0
logic-software/saving-and-exporting-data/differentiate-data-in-the-export-file	pass	200	5	5	0
logic-software/saving-and-exporting-data/exporting-data	pass	200	6	6	0
logic-software/saving-and-exporting-data/open-logicdata-files	pass	200	1	1	0
logic-software/saving-and-exporting-data/saving-loading-and-exporting-data	pass	200	3	3	0
logic-software/settings-and-preferences/automatic-updates	pass	200	3	3	0
logic-software/settings-and-preferences/changing-window-resolution	pass	200	1	1	0
logic-software/settings-and-preferences/color-themes	pass	200	3	3	0
logic-software/settings-and-preferences/keyboard-shortcuts	pass	200	1	1	0
logic-software/viewing-and-analyzing-data/changing-the-display-radix	pass	200	2	2	0
logic-software/viewing-and-analyzing-data/data-table-and-terminal	pass	200	11	11	0
logic-software/viewing-and-analyzing-data/delete-data	pass	200	2	2	0
logic-software/viewing-and-analyzing-data/how-can-i-compare-signals-from-different-captures	pass	200	1	1	0
