slug	status	local_http	prod_http	links_diff	assets_diff	text_similarity
community-contact/community-created-accessories	pass	200	200	0	0	100.0
community-contact/community-shared-protocols	pass	200	200	0	0	100.0
community-contact/feedback	pass	200	200	0	0	100.0
community-contact/forum	pass	200	200	0	0	100.0
community-contact/help-outside-scope	pass	200	200	0	0	100.0
community-contact/how-do-you-pronounce-saleae	pass	200	200	0	0	100.0
community-contact/license	pass	200	200	0	0	100.0
community-contact/message-us-directly	pass	200	200	0	0	100.0
community-contact/projects	pass	200	200	0	0	100.0
community-contact/what-higher-level-protocol-analysis-features-are-available	pass	200	200	0	0	99.6
community-contact/writing-for-saleae	pass	200	200	0	0	100.0
extensions-api/automation-api/automation	pass	200	200	0	0	100.0
extensions-api/automation-api/automation-legacy-logic1	pass	200	200	0	0	17.2
extensions-api/automation-api/connecting-remotely-with-ssh	pass	200	200	0	0	100.0
extensions-api/automation-api/device-sdk	pass	200	200	0	0	74.4
extensions-api/automation-api/export-data	pass	200	200	0	0	30.5
extensions-api/automation-api/extract-data-using-socket-api	pass	200	200	0	0	100.0
extensions-api/automation-api/how-to-manage-protocol-analyzers-when-using-the-socket-api	pass	200	200	0	0	99.7
extensions-api/automation-api/how-to-trigger-on-a-pulse-with-no-maximum-time-limit	pass	200	200	0	0	100.0
extensions-api/automation-api/is-there-cross-platform-support-for-the-saleaesocketapi-c-project	pass	200	200	0	0	100.0
extensions-api/automation-api/running-logic-in-a-ci-environment-on-windows-with-the-system-account	pass	200	200	0	0	100.0
extensions-api/automation-api/vb-net	pass	200	200	0	0	100.0
extensions-api/extensions/about-third-party-extensions	pass	200	200	0	0	100.0
extensions-api/extensions/analog-measurement-extensions	pass	200	200	0	0	100.0
extensions-api/extensions/api-documentation	pass	200	200	0	0	100.0
extensions-api/extensions/digital-measurement-extensions	pass	200	200	0	0	100.0
extensions-api/extensions/disabling-marketplace-extensions	pass	200	200	0	0	100.0
extensions-api/extensions/extension-file-format	pass	200	200	0	0	100.0
extensions-api/extensions/extensions-quickstart	fail	200	200	2	0	100.0
extensions-api/extensions/high-level-analyzer-extensions	fail	200	200	2	0	100.0
extensions-api/extensions/installing-extensions	pass	200	200	0	0	100.0
extensions-api/extensions/measurement-extensions	fail	200	200	2	0	10.3
extensions-api/extensions/publish-an-extension	pass	200	200	0	0	99.8
extensions-api/extensions/python-package-support	pass	200	200	0	0	100.0
extensions-api/extensions/shared-high-level-analyzers-hlas	pass	200	200	0	0	92.5
extensions-api/hla-frame-format-reference/1-wire-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/async-rgb-led-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/can-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/i2c-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/i2s-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/lin-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/manchester-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/serial-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/simple-parallel-analyzer	pass	200	200	0	0	100.0
extensions-api/hla-frame-format-reference/spi-analyzer	pass	200	200	0	0	100.0
extensions-api/protocol-analyzer-sdk/can-custom-analyzers-process-analog-channels	pass	200	200	0	0	100.0
extensions-api/protocol-analyzer-sdk/framev2-hla-support-analyzer-sdk	fail	200	200	2	0	100.0
extensions-api/protocol-analyzer-sdk/how-to-view-and-debug-firmware-variables-state-and-function-calls	pass	200	200	0	0	100.0
extensions-api/protocol-analyzer-sdk/migrate-code-to-the-new-analyzer-sdk	pass	200	200	0	0	99.6
extensions-api/protocol-analyzer-sdk/osx-analyzer-sdk-xcode-setup	pass	200	200	0	0	100.0
extensions-api/protocol-analyzer-sdk/packet-level-decoding-support-in-the-analyzer-sdk	pass	200	200	0	0	100.0
extensions-api/protocol-analyzer-sdk/protocol-analyzer-sdk	pass	200	200	0	0	11.3
extensions-api/protocol-analyzer-sdk/renaming-a-custom-analyzer	pass	200	200	0	0	23.4
extensions-api/protocol-analyzer-sdk/setting-up-developer-directory	pass	200	200	0	0	100.0
extensions-api/protocol-analyzer-sdk/sharing-custom-analyzer-code	pass	200	200	0	0	100.0
getting-started/configure	pass	200	200	0	0	100.0
getting-started/identify-each-saleae-device	pass	200	200	0	0	100.0
getting-started/measure	pass	200	200	0	0	100.0
getting-started/navigate	pass	200	200	0	0	100.0
getting-started/product-summary	fail	200	200	2	0	38.3
getting-started/protocols	pass	200	200	0	0	100.0
getting-started/record	pass	200	200	0	0	100.0
getting-started/setup	pass	200	200	0	0	100.0
getting-started/trigger	pass	200	200	0	0	100.0
getting-started/what-accessories-if-any-should-i-purchase-with-my-device	pass	200	200	0	0	100.0
getting-started/what-is-included	pass	200	200	0	0	100.0
logic-software/capturing-data/automate-long-captures	pass	200	200	0	0	100.0
logic-software/capturing-data/capture-modes	fail	200	200	2	0	100.0
logic-software/capturing-data/capture-settings	pass	200	200	0	0	45.9
logic-software/capturing-data/capture-settings-configuration-guide	pass	200	200	0	0	100.0
logic-software/capturing-data/connecting-accessories	pass	200	200	0	0	100.0
logic-software/capturing-data/connecting-the-logic-hardware	pass	200	200	0	0	100.0
logic-software/capturing-data/demo-mode	pass	200	200	0	0	100.0
logic-software/capturing-data/how-long-can-i-record-data	pass	200	200	0	0	100.0
logic-software/capturing-data/how-to-trigger-the-end-of-a-capture-instead-of-the-start	pass	200	200	0	0	100.0
logic-software/capturing-data/suggestions-for-capturing-multiple-instances-of-a-triggered-event-automatically	pass	200	200	0	0	100.0
logic-software/capturing-data/what-sample-rate-is-required	pass	200	200	0	0	100.0
logic-software/capturing-data/what-sample-rate-settings-are-available	pass	200	200	0	0	100.0
logic-software/download-and-installation/changelog	fail	200	200	1	0	6.7
logic-software/download-and-installation/driver-install	pass	200	200	0	0	100.0
logic-software/download-and-installation/firmware-updates	pass	200	200	0	0	100.0
logic-software/download-and-installation/is-silent-installation-supported	pass	200	200	0	0	100.0
logic-software/download-and-installation/logic-1.x-installation	pass	200	200	0	0	21.3
logic-software/download-and-installation/logic-1.x-user-guide	pass	200	200	0	0	53.0
logic-software/download-and-installation/older-software-releases	fail	200	200	1	0	7.4
logic-software/download-and-installation/running-multiple-versions-of-the-software	pass	200	200	0	0	100.0
logic-software/download-and-installation/standalone-software-info	pass	200	200	0	0	17.2
logic-software/download-and-installation/supported-operating-systems	pass	200	200	0	0	100.0
logic-software/download-and-installation/sw-download	pass	200	200	0	0	100.0
logic-software/download-and-installation/sw-installation	pass	200	200	0	0	100.0
logic-software/download-and-installation/which-version-of-the-software-should-i-use	fail	200	200	2	0	31.4
logic-software/saving-and-exporting-data/binary-and-csv-export-formats-2025-update	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/binary-data-export-format	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/binary-export-format-logic-2	fail	200	200	1	0	16.9
logic-software/saving-and-exporting-data/can-i-create-or-edit-logicdata-files	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/can-i-share-data-captures	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/data-export-format-analog-binary	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/differentiate-data-in-the-export-file	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/export-between-timing-markers	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/exporting-data	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/how-do-i-convert-exported-csv-analog-data-in-voltages	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/how-long-does-it-take-to-save-a-file	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/how-to-export-serial-protocol-results-to-a-raw-binary-file	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/is-it-possible-to-import-data-into-the-logic-software	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/is-my-capture-data-private	pass	200	200	0	0	14.0
logic-software/saving-and-exporting-data/matlab-data-export-format	pass	200	200	0	0	17.0
logic-software/saving-and-exporting-data/open-logicdata-files	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/sal-file-format	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/saving-loading-and-exporting-data	pass	200	200	0	0	100.0
logic-software/saving-and-exporting-data/what-options-are-there-to-export-multiple-protocol-analyzer-results-into-the-same-file	pass	200	200	0	0	100.0
logic-software/settings-and-preferences/automatic-updates	pass	200	200	0	0	100.0
logic-software/settings-and-preferences/changing-window-resolution	pass	200	200	0	0	100.0
logic-software/settings-and-preferences/color-themes	pass	200	200	0	0	100.0
logic-software/settings-and-preferences/keyboard-shortcuts	pass	200	200	0	0	100.0
logic-software/settings-and-preferences/location-of-your-config-file	pass	200	200	0	0	26.3
logic-software/viewing-and-analyzing-data/changing-the-display-radix	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/compare-two-clock-signals-for-synchronization-and-drift	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/data-table-and-terminal	fail	200	200	2	0	24.3
logic-software/viewing-and-analyzing-data/delete-data	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/generate-analog-graph-from-digital-data	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/how-can-i-compare-signals-from-different-captures	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/how-does-ascii-display-characters	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/measurements-timing-markers	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/navigating-the-software	fail	200	200	2	0	99.9
logic-software/viewing-and-analyzing-data/navigating-your-data	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/set-analyzer-starting-point	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/software-glitch-filter	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/time-bar-settings	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/using-protocol-analyzers	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/viewing-i2c-addresses-as-8-bit	pass	200	200	0	0	100.0
logic-software/viewing-and-analyzing-data/what-annotations-are-supported	pass	200	200	0	0	100.0
ordering-returns/180-day-return-policy-and-3-year-warranty	pass	200	200	0	0	100.0
ordering-returns/business-info	pass	200	200	0	0	100.0
ordering-returns/check-your-order-status	pass	200	200	0	0	100.0
ordering-returns/distributors	pass	200	200	0	0	100.0
ordering-returns/does-saleae-have-a-trade-in-or-upgrade-plan	pass	200	200	0	0	100.0
ordering-returns/does-saleae-offer-demo-units	pass	200	200	0	0	94.8
ordering-returns/does-saleae-provide-drop-shipping-service	pass	200	200	0	0	100.0
ordering-returns/how-can-i-find-the-current-status-of-my-order	pass	200	200	0	0	100.0
ordering-returns/how-do-i-get-a-quote	pass	200	200	0	0	100.0
ordering-returns/how-do-i-place-an-order	pass	200	200	0	0	100.0
ordering-returns/international-customs-and-duty-information	pass	200	200	0	0	100.0
ordering-returns/invoices	pass	200	200	0	0	100.0
ordering-returns/is-the-saleae-software-sold-separately	pass	200	200	0	0	100.0
ordering-returns/place-a-purchase-order-po	pass	200	200	0	0	12.6
ordering-returns/pricing-and-availability	pass	200	200	0	0	100.0
ordering-returns/process-a-warranty	pass	200	200	0	0	100.0
ordering-returns/referral-program	pass	200	200	0	0	100.0
ordering-returns/ship-to-po-box-error	pass	200	200	0	0	100.0
ordering-returns/shipping-policy	pass	200	200	0	0	100.0
ordering-returns/tax-exemption	pass	200	200	0	0	100.0
ordering-returns/what-discounts-are-available	pass	200	200	0	0	100.0
ordering-returns/when-is-my-card-charged	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/convert-i2s-pcm-to-audio	pass	200	200	0	0	99.6
protocol-analyzers/analyzer-user-guides/decode-differential-and-high-voltage-data	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-async-serial	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-can	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-dmx-512	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-i2c	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-i2s-pcm	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-simple-parallel	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-spi	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/using-the-smbus-analyzer	pass	200	200	0	0	100.0
protocol-analyzers/analyzer-user-guides/which-saleae-products-can-decode-4-bit-parallel-lcd-communications	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/1-wire	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/biss-c	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/digital-multiplex-dmx512	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/hdmi-consumer-electronics-control-cec	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/inter-ic-sound-i2s-pcm	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/joint-test-action-group-jtag	pass	200	200	0	0	100.0
protocol-analyzers/learn-digital-protocols/learn-asynchronous-serial	pass	200	200	0	0	100.0
